,commune,codepostal,carburants,latitude,longitude,nombre,liste_complete_carburants,departement
8639,Cohade,43100,"['E10', 'Gazole', 'SP98', 'SP95']",45.32244,3.375,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",43
8640,FIRMINY,42700,"['Gazole', 'SP98', 'GPLc', 'SP95']",45.37542,4.2774,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8641,LE PUY EN VELAY,43000,"['E10', 'Gazole', 'SP98', 'GPLc']",45.0479250728,3.89342284693,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",43
8643,Dunières,43220,"['Gazole', 'SP95']",45.21437,4.34647,2,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",43
8644,YSSINGEAUX,43200,"['Gazole', 'SP98', 'SP95']",45.14693,4.12796,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",43
8645,Montbrison,42600,"['E10', 'Gazole', 'SP95']",45.60005,4.06589,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8646,Pélussin,42410,"['E10', 'Gazole', 'SP98', 'SP95']",45.41803,4.68216,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8647,MONTBRISON,42600,"['Gazole', 'SP98', 'SP95']",45.5969595928,4.08269448288,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8648,Saint-Chamond,42400,"['E10', 'Gazole', 'E85', 'SP98']",45.47933,4.51918,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8649,NOIRéTABLE,42440,"['Gazole', 'SP98', 'SP95']",45.8164827834,3.76427809609,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",42
8650,Brioude,43100,"['Gazole', 'SP98', 'SP95']",45.3003,3.37977,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",43
8651,Le Puy-en-Velay,43000,"['E10', 'Gazole', 'SP98']",45.03269,3.88591,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",43
8652,SAINT-AVé,56890,"['E10', 'Gazole', 'SP95']",47.6772172512,-2.73013068494,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8653,Séné,56860,"['E10', 'Gazole', 'SP98']",47.65024,-2.72181,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8654,Rombas,57120,"['E10', 'Gazole', 'SP98']",49.23589,6.10921,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8655,LANDEVANT,56690,"['E10', 'Gazole', 'SP98']",47.7610461338,-3.12354430613,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8657,Ploërmel,56800,"['Gazole', 'SP98', 'SP95']",47.93061,-2.38794,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8658,Belz,56550,"['E10', 'Gazole', 'SP98', 'SP95']",47.67419,-3.1717,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8659,SAINT-AVé,56890,"['Gazole', 'SP98', 'GPLc', 'SP95']",47.6827506258,-2.76401053214,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8661,THIONVILLE,57100,"['E10', 'Gazole', 'SP98']",49.336869998,6.15601375423,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8662,BADEN,56870,"['E10', 'Gazole', 'SP98', 'SP95']",47.62053,-2.91631,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8663,THIONVILLE,57100,"['E10', 'Gazole', 'SP98', 'GPLc']",49.3520754629,6.16012471512,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8664,INZINZAC-LOCHRIST,56650,"['Gazole', 'SP98', 'SP95']",47.8255540453,-3.2523041043,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8665,ROMBAS,57120,"['Gazole', 'SP98', 'SP95']",49.24363,6.10195,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8666,Metz,57000,"['E10', 'Gazole', 'SP98', 'GPLc']",49.10134,6.16337,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8667,CLEGUEREC,56480,"['Gazole', 'SP95']",48.12744,-3.05606,2,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8668,THIONVILLE,57100,"['E10', 'Gazole', 'SP98', 'SP95']",49.3561242168,6.14011236649,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8669,HENNEBONT,56700,"['Gazole', 'SP98', 'SP95']",47.81001,-3.26381,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8670,Metz,57070,"['E10', 'Gazole', 'SP98']",49.11978,6.22077,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8671,Languidic,56440,"['E10', 'Gazole', 'SP98', 'SP95']",47.83062,-3.15773,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8672,Kervignac,56700,"['Gazole', 'SP98', 'SP95']",47.75909,-3.23206,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8673,THEIX,56450,"['E10', 'Gazole', 'SP98', 'GPLc', 'SP95']",47.6402006594,-2.68026989281,5,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8674,Ars-sur-Moselle,57130,"['E10', 'Gazole', 'SP98']",49.07335,6.07401,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8675,Arzon,56640,"['Gazole', 'SP98', 'SP95']",47.5425,-2.87888,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8676,LANESTER,56600,"['Gazole', 'SP98', 'GPLc', 'SP95']",47.7661620885,-3.33248611274,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8677,Pénestin,56760,"['Gazole', 'SP98', 'SP95']",47.4816,-2.47076,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8678,THIONVILLE,57100,"['E10', 'Gazole', 'SP98', 'GPLc', 'SP95']",49.36279,6.11765,5,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8679,Ploërmel,56800,"['E10', 'Gazole', 'SP98', 'GPLc']",47.9189943106,-2.363761608,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8680,MANOM,57100,"['Gazole', 'SP98', 'SP95']",49.3793299391,6.1703370379,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8681,Caudan,56850,"['Gazole', 'SP95']",47.78527,-3.33195,2,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8682,BRéHAN,56580,"['E10', 'Gazole', 'SP98', 'SP95']",48.06076,-2.6901,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8683,Ploeren,56880,"['Gazole', 'SP98', 'SP95']",47.65958,-2.8692,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8684,RéGUINY,56500,"['E10', 'Gazole', 'SP98']",47.9900033293,-2.70803067885,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8685,Metz,57070,"['E10', 'Gazole', 'SP98']",49.1055,6.20928,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8686,Le Roc-Saint-André,56460,"['Gazole', 'SP95']",47.86451,-2.44874,2,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8687,METZ,57050,"['E10', 'Gazole', 'SP98']",49.134,6.16197,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",57
8688,Pluméliau,56930,"['Gazole', 'SP98', 'SP95']",47.96247,-2.98332,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8689,Sérent,56460,"['Gazole', 'SP98', 'SP95']",47.8240435545,-2.50634667262,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8691,SURZUR,56450,"['E10', 'Gazole', 'SP98', 'SP95']",47.5768221083,-2.62657118325,4,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8693,Merlevenez,56700,"['E10', 'Gazole', 'SP98']",47.73645,-3.23182,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8695,CRACH,56950,"['Gazole', 'SP98', 'SP95']",47.6080133513,-2.99716367479,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8696,PLOUHARNEL,56340,"['E10', 'Gazole', 'SP98']",47.59785,-3.11074,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8697,Ploërmel,56800,"['E10', 'Gazole', 'SP95']",47.92267,-2.40372,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8698,HENNEBONT,56700,"['E10', 'Gazole', 'SP98']",47.80427,-3.26989,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8699,Séné,56860,"['E10', 'Gazole', 'SP95']",47.65147,-2.72276,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
8700,Baden,56870,"['Gazole', 'SP98', 'SP95']",47.61948,-2.91921,3,"['E10', 'SP98', 'GPLc', 'E85', 'Gazole', 'SP95']",56
